name,grades
Chute Middle School,Grades 6-8
Dawes Elementary School,Grades K-5
Dewey Elementary School,Grades K-5
Dr. Bessie Rhodes School of Global Studies,Grades K-8
Dr. Martin Luther King Jr. Literary & Fine Arts School,Grades K-8
Haven Middle School,Grades 6-8
Kingsley Elementary School,Grades K-5
Lincoln Elementary School,Grades K-5
Lincolnwood Elementary School,Grades K-5
Nichols Middle School,Grades 6-8
Oakton Elementary School,Grades K-5
Orrington Elementary School,Grades K-5
Rice Education Center,Grades 1-8
Walker Elementary School,Grades K-5
Washington Elementary School,Grades K-5
Willard Elementary School,Grades K-5